time,lux
71.475,1058.48
71.575,1058.48
71.675,1058.48
71.775,1058.48
71.874,1058.48
71.975,1058.48
72.071,1058.48
72.174,1058.48
72.273,1058.48
72.373,1058.48
72.472,1058.48
72.575,1058.48
72.676,1061.48
72.774,1085.02
72.875,1085.02
72.975,1085.02
73.075,1077.04
73.175,1077.04
73.275,1077.04
73.376,1077.04
73.475,1077.04
73.575,1077.04
73.673,1077.04
73.775,1085.02
73.873,1088.07
73.974,1088.07
74.073,1088.07
74.170,1088.07
74.274,1088.07
74.375,1088.07
74.475,1088.07
74.575,1088.07
74.673,1088.07
74.775,1088.07
74.873,1088.07
74.974,1088.07
75.074,1088.07
75.173,1088.07
75.274,1088.07
75.375,1088.07
75.473,1088.07
75.572,1088.07
75.672,1088.07
75.772,1088.07
75.873,1088.07
75.975,1088.07
76.072,1088.07
76.171,1088.07
76.272,1088.07
76.372,1088.07
76.474,1091.13
76.572,1088.07
76.672,1106.98
76.772,1103.89
76.871,1103.89
76.971,1103.89
77.072,1103.89
77.175,1103.89
77.270,1103.89
77.373,1088.07
77.473,1088.07
77.571,1088.07
77.673,1088.07
77.772,1088.07
77.875,1088.07
77.972,1088.07
78.071,1088.07
78.174,1088.07
78.274,1088.07
78.374,1088.07
78.472,1088.07
78.571,1088.07
78.671,1088.07
78.772,1085.02
78.871,1077.04
78.972,1077.04
79.074,1061.48
79.174,1058.48
79.271,1058.48
79.372,1085.02
79.473,1088.07
79.573,1088.07
79.672,1085.02
79.772,1058.48
79.871,1040.13
79.972,1061.48
80.072,1088.07
80.173,1103.89
80.271,1115.11
80.371,1115.11
80.473,1115.11
80.574,1115.11
80.673,1115.11
80.774,1115.11
80.871,1106.98
80.970,1106.98
81.071,1106.98
81.171,1088.07
81.270,1088.07
81.371,1080.08
81.473,1080.08
81.573,1088.07
81.670,1088.07
81.771,1103.89
81.871,1106.98
81.970,1115.11
82.071,1118.22
82.170,1134.32
82.271,1134.32
82.371,1134.32
82.469,1145.75
82.573,1134.32
82.672,1134.32
82.772,1106.98
82.873,1103.89
82.972,1088.07
83.073,1088.07
83.173,1088.07
83.272,1088.07
83.372,1088.07
83.472,1112.00
83.574,1112.00
83.673,1115.11
83.772,1115.11
83.871,1115.11
83.970,1115.11
84.070,1115.11
84.171,1115.11
84.272,1115.11
84.373,1115.11
84.472,1115.11
84.573,1106.98
84.671,1115.11
84.772,1134.32
84.870,1137.47
84.970,1165.31
85.070,1185.10
85.169,1165.31
85.272,1134.32
85.372,1134.32
85.472,1137.47
85.573,1137.47
85.673,1134.32
85.772,1134.32
85.870,1134.32
85.972,1134.32
86.071,1134.32
86.173,1134.32
86.272,1134.32
86.373,1162.11
86.472,1162.11
86.572,1162.11
86.671,1134.32
86.771,1115.11
86.870,1115.11
86.972,1106.98
87.072,1137.47
87.172,1156.94
87.269,1160.13
87.370,1185.10
87.470,1168.51
87.569,1185.10
87.672,1165.31
87.771,1165.31
87.869,1162.11
87.971,1162.11
88.071,1162.11
88.170,1193.61
88.270,1242.78
88.370,1217.00
88.469,1213.71
88.572,1193.61
88.669,1181.87
88.768,1134.32
88.872,1134.32
88.971,1153.76
89.072,1165.31
89.172,1165.31
89.271,1185.10
89.371,1193.61
89.471,1196.86
89.571,1217.00
89.671,1225.66
89.771,1225.66
89.871,1222.35
89.971,1193.61
90.069,1173.72
90.168,1165.31
90.268,1162.11
90.369,1142.59
90.470,1134.32
90.571,1134.32
90.669,1115.11
90.768,1115.11
90.872,1115.11
90.970,1115.11
91.069,1134.32
91.169,1142.59
91.267,1142.59
91.371,1131.18
91.470,1131.18
91.570,1131.18
91.669,1134.32
91.767,1134.32
91.868,1131.18
91.968,1134.32
92.069,1142.59
92.168,1162.11
92.270,1190.36
92.370,1173.72
92.470,1134.32
92.570,1134.32
92.669,1222.35
92.769,1131.18
92.867,1134.32
92.967,1193.61
93.070,1134.32
93.169,1162.11
93.270,1165.31
93.369,1181.87
93.469,1193.61
93.568,1210.43
93.669,1222.35
93.770,1219.05
93.860,1219.05
93.967,1219.05
94.069,1190.36
94.169,1162.11
94.268,1158.92
94.368,1134.32
94.469,1134.32
94.567,1134.32
94.669,1162.11
94.767,1190.36
94.869,1190.36
94.969,1162.11
95.067,1158.92
95.168,1142.59
95.267,1134.32
95.368,1134.32
95.469,1134.32
95.568,1165.31
95.667,1196.86
95.767,1225.66
95.867,1110.07
95.967,1249.47
96.068,1288.06
96.167,1165.31
96.268,1168.51
96.367,1222.35
96.467,1246.12
96.567,1275.70
96.667,1275.70
96.767,1302.30
96.867,1305.75
96.966,1284.64
97.067,1254.92
97.168,1219.05
97.267,1190.36
97.367,1162.11
97.466,1162.11
97.566,1162.11
97.667,1162.11
97.767,1142.59
97.867,1131.18
97.966,1106.98
98.067,1106.98
98.167,1137.47
98.266,1193.61
98.365,1196.86
98.466,1213.71
98.566,1113.17
98.667,1064.49
98.766,857.30
98.868,1219.05
98.967,1009.60
99.068,1085.02
99.167,1139.43
99.267,1029.42
99.368,1088.07
99.467,1193.61
99.566,1251.56
99.666,1219.05
99.766,1190.36
99.866,1190.36
99.967,1251.56
100.066,1272.31
100.165,1009.60
100.266,1142.59
