time,lux
131.194,190.44
131.294,136.88
131.394,197.97
131.494,171.33
131.590,134.87
131.688,122.69
131.788,178.35
131.888,163.63
131.988,168.12
132.088,169.00
132.190,166.70
132.294,184.62
132.394,152.63
132.496,219.09
132.599,125.22
132.698,191.40
132.791,164.41
132.888,178.35
132.988,156.92
133.088,177.44
133.185,163.63
133.285,170.44
133.385,172.69
133.486,175.05
133.585,163.63
133.685,188.04
133.785,165.82
133.885,192.96
133.985,199.57
134.085,197.97
134.185,187.09
134.285,213.62
134.385,214.66
134.483,183.11
134.585,166.70
134.685,178.35
134.785,175.96
134.885,180.67
134.985,147.84
135.085,203.07
135.188,180.67
135.287,180.67
135.388,178.35
135.487,171.33
135.588,173.59
135.687,178.35
135.784,165.28
135.885,181.60
135.985,162.23
136.085,183.11
136.185,164.49
136.285,134.87
136.384,188.89
136.484,166.70
136.584,157.24
136.684,221.19
136.784,167.57
136.885,177.69
136.984,186.41
137.084,238.03
137.185,173.59
137.284,200.56
137.384,176.87
137.485,187.94
137.584,197.36
137.684,159.90
137.784,216.34
137.885,189.85
137.985,193.93
138.084,163.63
138.185,132.89
138.284,192.36
138.384,161.69
138.484,227.35
138.584,216.34
138.684,216.34
138.784,166.07
138.884,220.14
138.984,167.57
139.084,185.47
139.184,165.28
139.284,195.50
139.384,155.64
139.484,177.44
139.584,162.23
139.683,171.33
139.784,175.96
139.884,172.69
139.984,161.37
140.084,165.91
140.184,144.29
140.284,150.56
140.384,163.63
140.484,173.68
140.584,192.96
140.684,180.76
140.784,175.05
140.884,165.82
140.984,192.00
141.084,161.29
141.184,158.61
141.284,161.29
141.384,208.35
141.484,176.87
141.584,179.27
141.684,208.35
141.784,211.03
141.884,208.35
141.984,197.97
142.084,129.05
142.186,187.94
142.286,183.11
142.382,156.40
142.484,190.44
142.583,178.35
142.684,145.01
142.784,147.84
142.886,160.76
142.986,131.74
143.086,166.70
143.186,153.46
143.286,178.35
143.386,163.01
143.486,211.03
143.586,122.24
143.686,129.05
143.786,169.00
143.886,178.35
143.986,162.23
144.086,157.84
144.186,171.33
144.286,162.23
144.386,169.89
144.486,173.59
144.583,189.49
144.683,197.97
144.783,196.48
144.883,188.04
144.983,187.09
145.083,189.49
145.183,187.09
145.283,175.96
145.384,169.80
145.484,116.17
145.582,142.14
145.683,159.99
145.784,165.82
145.883,108.45
145.983,232.94
146.084,208.35
146.186,199.57
146.283,201.55
146.384,221.85
146.486,187.94
146.586,192.96
146.686,204.17
146.786,152.94
146.886,210.00
146.986,170.44
147.086,180.67
147.186,141.65
147.286,217.39
147.386,197.46
147.486,210.39
147.586,204.17
147.686,163.54
147.786,168.92
147.883,133.64
147.983,179.18
148.083,165.28
148.183,220.14
148.283,211.03
148.382,173.59
148.483,178.26
148.583,163.01
148.682,142.44
148.783,201.55
148.883,147.84
148.986,214.66
149.083,180.67
149.186,164.41
149.286,166.70
149.386,169.00
149.486,183.11
149.586,151.30
149.685,192.00
149.786,177.44
149.883,204.69
149.983,190.44
150.082,192.00
150.183,177.44
150.283,177.44
150.383,177.44
150.482,161.37
150.583,161.37
150.682,164.49
150.783,169.00
150.883,169.00
150.983,164.49
151.083,162.23
151.183,162.23
151.283,173.59
151.383,172.69
151.483,168.12
151.583,177.44
151.682,163.54
151.783,200.56
151.883,182.17
151.983,184.62
152.083,192.00
152.183,161.29
152.283,207.34
152.383,182.17
152.483,194.53
152.583,142.14
152.683,195.50
152.783,169.09
152.883,163.63
152.983,192.96
153.083,189.49
153.183,189.49
153.283,212.59
153.383,218.04
153.482,184.62
153.582,160.76
153.683,175.96
153.783,189.49
153.883,202.17
153.983,207.34
154.083,236.92
154.183,247.47
154.283,196.99
154.383,211.03
154.483,224.54
154.581,215.30
154.683,192.00
154.783,207.34
154.883,173.59
154.983,187.00
155.085,162.15
155.185,162.15
155.284,177.35
155.386,132.96
155.484,204.69
155.582,177.44
155.683,163.54
155.782,184.62
155.882,192.00
155.982,149.15
156.082,161.29
156.182,166.70
156.283,207.34
156.382,187.09
156.483,182.17
156.582,163.09
156.682,166.70
156.782,170.35
156.883,146.31
156.982,124.50
157.082,164.41
157.182,180.67
157.283,148.34
157.384,170.44
157.486,165.82
157.590,162.23
157.684,175.05
157.785,177.44
157.885,161.37
157.985,170.44
158.088,157.00
158.191,165.82
158.291,147.11
158.391,184.62
158.489,177.44
158.591,189.49
158.691,196.99
158.791,192.00
158.889,174.15
158.991,157.76
159.091,211.03
159.188,181.25
159.291,183.11
159.385,184.62
159.485,172.69
159.584,182.17
159.691,155.56
159.791,182.17
159.891,216.34
159.985,221.85
160.085,165.82
160.185,200.56
160.286,182.17
160.391,152.63
160.491,160.52
160.591,199.57
160.690,178.35
160.786,182.17
160.885,177.44
160.990,201.08
161.088,204.69
161.185,229.10
161.285,204.79
161.385,171.80
161.485,176.52
161.585,170.44
161.688,153.97
161.790,156.16
161.890,149.74
161.990,177.44
162.087,163.54
162.185,175.96
162.290,172.69
162.390,170.44
162.490,172.69
162.591,176.52
162.690,175.05
162.790,171.24
162.890,177.44
162.991,170.44
163.090,154.81
163.190,171.88
163.290,148.42
163.390,146.31
163.490,143.42
163.589,167.33
163.690,152.63
163.790,138.12
163.891,207.34
163.989,142.21
164.090,157.00
164.190,157.00
164.290,163.63
164.390,177.44
164.490,170.44
164.590,182.17
164.690,192.00
164.790,184.62
164.890,167.24
164.990,183.69
165.090,184.62
165.190,182.26
165.290,163.63
165.390,175.05
165.490,182.17
165.590,192.00
165.690,192.00
165.790,188.04
165.890,212.05
165.990,211.03
166.090,208.35
166.190,197.97
166.290,196.38
166.390,208.35
166.490,218.04
166.584,245.63
166.687,230.18
166.790,219.09
166.890,192.00
166.990,184.62
167.090,196.99
167.190,189.49
167.290,175.05
167.390,163.63
167.490,163.63
167.590,163.63
167.690,179.84
167.790,200.56
167.890,170.44
167.990,172.78
168.090,184.62
168.190,168.12
168.289,157.00
168.390,192.00
168.490,157.00
168.590,185.56
168.690,177.44
168.788,161.37
168.890,149.15
